,"Active Status","Type","Item","Description","Sales Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","Cost","Preferred Vendor","Tax Agency","Price","Reorder Pt (Min)","MPN"
,"Active","Inventory Part","MBTX9U","MBTX9U  QUAD FLEX","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBTX9U  QUAD FLEX",-290,17.98,"MOTOBATT",,67.95,"","MBTX9U"
,"Active","Inventory Part","MBTZ10S","MBTZ10S QUADFLEX BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBTZ10S QUADFLEX BATTERY",-109,16.12,"MOTOBATT",,80.95,"","MBTZ10S"
,"Active","Inventory Part","MBTZ7S","QUADFLEX MOTOBATT BATTERY MBTZ7S","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"QUADFLEX MOTOBATT BATTERY MBTZ7S",-21,11.74,"MOTOBATT",,74.95,"","MBTZ7S"
,"Active","Inventory Part","MBU135","MOTOBATT U1L 35AH SLA","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTOBATT U1L 35AH SLA",-27,31.00,"MOTOBATT",,98.50,"","MBU135"
,"Active","Inventory Part","MBUSB","USB WIRE ADAPTER PLUG","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"USB WIRE ADAPTER PLUG",-105,2.50,"MOTOBATT",,10.00,"","MBUSB"
,"Active","Inventory Part","MBVM","12V BATTERY TESTER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"12V BATTERY TESTER",-206,1.63,"MINT",,10.95,"","MBVM"
,"Active","Inventory Part","MBYZ16H","MBYZ16H  QUADFLEX BATT","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MBYZ16H  QUADFLEX BATT",-1,24.79,"MOTOBATT",,94.95,"","MBYZ16H"
,"Active","Inventory Part","MCCH3.5","3.5 INCH WHEEL CHOCK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"3.5 INCH WHEEL CHOCK",-2,7.50,"AOTECH",,19.95,"","MCCH3.5"
,"Active","Inventory Part","MCCH5.5","5.5 INCH WHEEL CHOCK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"5.5 INCH WHEEL CHOCK",-15,7.50,"AOTECH",,22.95,"","MCCH5.5"
,"Active","Inventory Part","MCCH6.5","6.5 INCH WHEEL CHOCK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"6.5 INCH WHEEL CHOCK",-46,7.50,"AOTECH",,24.95,"","MCCH6.5"
,"Active","Inventory Part","MCCS100","MOTORCYCLE CRUISE CONT","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MOTORCYCLE CRUISE CONT",-42,54.00,"LITE-ON",,199.00,"","MCCS100"
,"Active","Inventory Part","MF8113","OIL FILTER HF113","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"OIL FILTER HF113",-1,0.58,"MINT",,2.32,"","MF8113"
,"Active","Inventory Part","MF8136","OIL FILTER HF136","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"OIL FILTER HF136",-1,0.52,"MINT",,2.08,"","MF8136"
,"Active","Inventory Part","MF8204","OIL FILTERS HF204","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"OIL FILTERS HF204",-2,1.77,"MINT",,7.08,"","MF8204"
,"Active","Inventory Part","MICROBAG","MICROFIBER BAG","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MICROFIBER BAG",-465,0.17,"Q & A PAC",,3.50,"","MICROBAG"
,"Active","Inventory Part","MISC1","MISC1","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MISC1",-1053,0.00,"SUNN BATTERY",,0.00,"","MISC1"
,"Active","Inventory Part","ML5000","ML-5000 MAB BATTERY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"ML-5000 MAB BATTERY",-26,6.619,"JINDA",,23.95,"","ML5000"
,"Active","Inventory Part","MSB-200","MSB-200","Non","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"MSB-200",0,179.00,"BATTERYPLEX",,304.30,"","MSB-200"
,"Active","Inventory Part","MST125-0.250","1/8"" X 1/4"" TAB","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"1/8"" X 1/4"" TAB",-56,0.05,"S & S ELECTRONICS",,0.04,"","MST125-0.250"
,"Active","Inventory Part","MST250-2.00R","1/4"" X 2"" RADIUS TAB","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"1/4"" X 2"" RADIUS TAB",-310,0.042,"S & S ELECTRONICS",,0.25,"","MST250-2.00R"
,"Active","Inventory Part","N1049","3 HIGH 1/2C700 STICK..","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"3 HIGH 1/2C700 STICK..",-100,2.32,"SUNN PRODUCTION",,9.95,"","N1049"
,"Active","Inventory Part","N1057","2 HIGH 2/3AF","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"2 HIGH 2/3AF",-5,3.58,"SUNN PRODUCTION",,15.85,"","N1057"
,"Active","Inventory Part","N1119","6C 1.8AH REPLACEMENT PACK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"6C 1.8AH REPLACEMENT PACK",-2,13.04,"SUNN PRODUCTION",,23.71,"","N1119"
,"Active","Inventory Part","NEPTUNE24CLSM","NEPTUNE 24 CL TO SM","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEPTUNE 24 CL TO SM",-3,18.00,"GLOBAL VISION",,39.99,"","NEPTUNE24CLSM"
,"Active","Inventory Part","NEPTUNECL","NEPTUNE  W/CL LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEPTUNE  W/CL LENS",-3,5.33,"GLOBAL VISION",,8.00,"","NEPTUNECL"
,"Active","Inventory Part","NEPTUNESM","NEPTUNE  SMOKE  SAFETY GLASSES","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEPTUNE  SMOKE  SAFETY GLASSES",-9,5.33,"GLOBAL VISION",,12.95,"","NEPTUNESM"
,"Active","Inventory Part","NEPTUNEYT","NEPTUNE  W/ YL MIRROR LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NEPTUNE  W/ YL MIRROR LENS",-2,5.33,"GLOBAL VISION",,8.00,"","NEPTUNEYT"
,"Active","Inventory Part","NICADFLUKE","4.8V  2.8AH NICAD PACK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"4.8V  2.8AH NICAD PACK",-6,4.889,"SUNN BATTERY",,24.95,"","NICADFLUKE"
,"Active","Inventory Part","NIMHFLUKE","4.8V  5000MAH NIMH PACK","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"4.8V  5000MAH NIMH PACK",-7,8.80,"JINDA",,34.95,"","NIMHFLUKE"
,"Active","Inventory Part","NINJAFM","NINJA BK W/ FM LENSES","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NINJA BK W/ FM LENSES",-1,7.50,"GLOBAL VISION",,22.50,"","NINJAFM"
,"Active","Inventory Part","NITROCL","NITRO W/ CLEAR LENSES","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NITRO W/ CLEAR LENSES",-7,8.33,"GLOBAL VISION",,17.99,"","NITROCL"
,"Active","Inventory Part","NITROSM","NITRO W/ SM LENS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NITRO W/ SM LENS",-2,8.33,"GLOBAL VISION",,17.99,"","NITROSM"
,"Active","Inventory Part","NP65-12FP","NP65-12FP","Non","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"NP65-12FP",-16,165.00,"ROYAL BATTERY",,280.50,"","NP65-12FP"
